"id","data_id","treat","age","educ","black","hisp","marr","nodegree","agesq","agecube","educsq","u74","u75","re74","re75","re78"
1,"Dehejia-Wahba Sample",1,37,11,1,0,1,1,1369,50653,121,1,1,0,0,9930.0458984375
2,"Dehejia-Wahba Sample",1,22,9,0,1,0,1,484,10648,81,1,1,0,0,3595.89404296875
3,"Dehejia-Wahba Sample",1,30,12,1,0,0,0,900,27000,144,1,1,0,0,24909.44921875
4,"Dehejia-Wahba Sample",1,27,11,1,0,0,1,729,19683,121,1,1,0,0,7506.14599609375
5,"Dehejia-Wahba Sample",1,33,8,1,0,0,1,1089,35937,64,1,1,0,0,289.789886474609
6,"Dehejia-Wahba Sample",1,22,9,1,0,0,1,484,10648,81,1,1,0,0,4056.49389648438
7,"Dehejia-Wahba Sample",1,23,12,1,0,0,0,529,12167,144,1,1,0,0,0
8,"Dehejia-Wahba Sample",1,32,11,1,0,0,1,1024,32768,121,1,1,0,0,8472.158203125
9,"Dehejia-Wahba Sample",1,22,16,1,0,0,0,484,10648,256,1,1,0,0,2164.02197265625
10,"Dehejia-Wahba Sample",1,33,12,0,0,1,0,1089,35937,144,1,1,0,0,12418.0703125
11,"Dehejia-Wahba Sample",1,19,9,1,0,0,1,361,6859,81,1,1,0,0,8173.908203125
12,"Dehejia-Wahba Sample",1,21,13,1,0,0,0,441,9261,169,1,1,0,0,17094.640625
13,"Dehejia-Wahba Sample",1,18,8,1,0,0,1,324,5832,64,1,1,0,0,0
14,"Dehejia-Wahba Sample",1,27,10,1,0,1,1,729,19683,100,1,1,0,0,18739.9296875
15,"Dehejia-Wahba Sample",1,17,7,1,0,0,1,289,4913,49,1,1,0,0,3023.87890625
16,"Dehejia-Wahba Sample",1,19,10,1,0,0,1,361,6859,100,1,1,0,0,3228.5029296875
17,"Dehejia-Wahba Sample",1,27,13,1,0,0,0,729,19683,169,1,1,0,0,14581.8603515625
18,"Dehejia-Wahba Sample",1,23,10,1,0,0,1,529,12167,100,1,1,0,0,7693.39990234375
19,"Dehejia-Wahba Sample",1,40,12,1,0,0,0,1600,64000,144,1,1,0,0,10804.3203125
20,"Dehejia-Wahba Sample",1,26,12,1,0,0,0,676,17576,144,1,1,0,0,10747.349609375
21,"Dehejia-Wahba Sample",1,23,11,1,0,0,1,529,12167,121,1,1,0,0,0
22,"Dehejia-Wahba Sample",1,41,14,0,0,0,0,1681,68921,196,1,1,0,0,5149.5009765625
23,"Dehejia-Wahba Sample",1,38,9,0,0,0,1,1444,54872,81,1,1,0,0,6408.9501953125
24,"Dehejia-Wahba Sample",1,24,11,1,0,0,1,576,13824,121,1,1,0,0,1991.40002441406
25,"Dehejia-Wahba Sample",1,18,10,1,0,0,1,324,5832,100,1,1,0,0,11163.169921875
26,"Dehejia-Wahba Sample",1,29,11,1,0,1,1,841,24389,121,1,1,0,0,9642.9990234375
27,"Dehejia-Wahba Sample",1,25,11,1,0,0,1,625,15625,121,1,1,0,0,9897.048828125
28,"Dehejia-Wahba Sample",1,27,10,0,1,0,1,729,19683,100,1,1,0,0,11142.8701171875
29,"Dehejia-Wahba Sample",1,17,10,1,0,0,1,289,4913,100,1,1,0,0,16218.0400390625
30,"Dehejia-Wahba Sample",1,24,11,1,0,0,1,576,13824,121,1,1,0,0,995.7001953125
31,"Dehejia-Wahba Sample",1,17,10,1,0,0,1,289,4913,100,1,1,0,0,0
32,"Dehejia-Wahba Sample",1,48,4,1,0,0,1,2304,110592,16,1,1,0,0,6551.591796875
33,"Dehejia-Wahba Sample",1,25,11,1,0,1,1,625,15625,121,1,1,0,0,1574.42395019531
34,"Dehejia-Wahba Sample",1,20,12,1,0,0,0,400,8000,144,1,1,0,0,0
35,"Dehejia-Wahba Sample",1,25,12,1,0,0,0,625,15625,144,1,1,0,0,3191.7529296875
36,"Dehejia-Wahba Sample",1,42,14,1,0,0,0,1764,74088,196,1,1,0,0,20505.9296875
37,"Dehejia-Wahba Sample",1,25,5,1,0,0,1,625,15625,25,1,1,0,0,6181.8798828125
38,"Dehejia-Wahba Sample",1,23,12,1,0,1,0,529,12167,144,1,1,0,0,5911.55078125
39,"Dehejia-Wahba Sample",1,46,8,1,0,1,1,2116,97336,64,1,1,0,0,3094.15600585938
40,"Dehejia-Wahba Sample",1,24,10,1,0,0,1,576,13824,100,1,1,0,0,0
41,"Dehejia-Wahba Sample",1,21,12,1,0,0,0,441,9261,144,1,1,0,0,1254.58203125
42,"Dehejia-Wahba Sample",1,19,9,0,0,0,1,361,6859,81,1,1,0,0,13188.830078125
43,"Dehejia-Wahba Sample",1,17,8,1,0,0,1,289,4913,64,1,1,0,0,8061.48486328125
44,"Dehejia-Wahba Sample",1,18,8,0,1,1,1,324,5832,64,1,1,0,0,2787.9599609375
45,"Dehejia-Wahba Sample",1,20,11,1,0,0,1,400,8000,121,1,1,0,0,3972.5400390625
46,"Dehejia-Wahba Sample",1,25,11,1,0,1,1,625,15625,121,1,1,0,0,0
47,"Dehejia-Wahba Sample",1,17,8,1,0,0,1,289,4913,64,1,1,0,0,0
48,"Dehejia-Wahba Sample",1,17,9,1,0,0,1,289,4913,81,1,1,0,0,0
49,"Dehejia-Wahba Sample",1,25,5,1,0,0,1,625,15625,25,1,1,0,0,12187.41015625
50,"Dehejia-Wahba Sample",1,23,12,1,0,0,0,529,12167,144,1,1,0,0,4843.17578125
51,"Dehejia-Wahba Sample",1,28,8,1,0,0,1,784,21952,64,1,1,0,0,0
52,"Dehejia-Wahba Sample",1,31,11,1,0,1,1,961,29791,121,1,1,0,0,8087.48681640625
53,"Dehejia-Wahba Sample",1,18,11,1,0,0,1,324,5832,121,1,1,0,0,0
54,"Dehejia-Wahba Sample",1,25,12,1,0,0,0,625,15625,144,1,1,0,0,2348.97290039062
55,"Dehejia-Wahba Sample",1,30,11,1,0,1,1,900,27000,121,1,1,0,0,590.781799316406
56,"Dehejia-Wahba Sample",1,17,10,1,0,0,1,289,4913,100,1,1,0,0,0
57,"Dehejia-Wahba Sample",1,37,9,1,0,0,1,1369,50653,81,1,1,0,0,1067.50598144531
58,"Dehejia-Wahba Sample",1,41,4,1,0,1,1,1681,68921,16,1,1,0,0,7284.98583984375
59,"Dehejia-Wahba Sample",1,42,14,1,0,1,0,1764,74088,196,1,1,0,0,13167.51953125
60,"Dehejia-Wahba Sample",1,22,11,0,0,0,1,484,10648,121,1,1,0,0,1048.43200683594
